Date,Open Price,High Price,Low Price,Close Price,Traded Value^,No. Of Trades,Traded Quantity
02-05-2018,"3,530.50","3,532.20","3,471.30","3,499.75",552.18,142452,1579023
30-04-2018,"3,451.95","3,549.00","3,437.60","3,532.10",609.32,109746,1729279
27-04-2018,"3,525.00","3,544.00","3,420.00","3,451.95",782.22,143297,2250665
26-04-2018,"3,467.00","3,560.00","3,467.00","3,539.25","2,141.13",155107,6067517
25-04-2018,"3,385.00","3,483.00","3,365.05","3,470.25","1,411.96",186272,4098287
24-04-2018,"3,410.00","3,443.15","3,342.50","3,385.65","1,407.49",191406,4157168
23-04-2018,"3,424.00","3,557.90","3,389.55","3,408.65","2,640.87",296796,7592955
20-04-2018,"3,250.00","3,422.35","3,240.00","3,402.45","3,093.99",287034,9232831
19-04-2018,"3,179.90","3,217.20","3,165.75","3,191.15",769.08,108523,2410476
18-04-2018,"3,166.00","3,193.45","3,145.85","3,159.10",385.22,57846,1216533
17-04-2018,"3,187.65","3,194.95","3,147.20","3,166.60",522.63,119475,1650862
16-04-2018,"3,116.00","3,199.95","3,110.75","3,187.65",993.65,142448,3135137
13-04-2018,"3,150.00","3,240.80","3,132.10","3,153.30","1,301.04",147501,4089559
12-04-2018,"3,010.00","3,150.00","3,007.95","3,139.25",952.70,138550,3057180
11-04-2018,"2,950.60","3,025.00","2,945.60","3,014.15",466.74,79572,1562208
10-04-2018,"2,925.70","2,957.25","2,925.70","2,937.60",174.34,56834,592266
09-04-2018,"2,939.70","2,963.50","2,915.00","2,923.90",181.48,61304,617933
06-04-2018,"2,954.00","2,960.00","2,926.55","2,950.30",166.17,35618,564509
05-04-2018,"2,926.55","2,963.75","2,920.35","2,957.95",266.85,50519,904712
04-04-2018,"2,929.45","2,934.00","2,892.00","2,910.90",414.18,73678,1420910
03-04-2018,"2,892.10","2,929.90","2,892.10","2,911.25",281.67,49338,968645
02-04-2018,"2,840.00","2,914.00","2,840.00","2,909.65",240.21,67851,831494
28-03-2018,"2,835.90","2,875.00","2,825.00","2,849.15",979.84,127771,3432827
27-03-2018,"2,825.00","2,863.00","2,823.05","2,847.70",354.93,101404,1247287
26-03-2018,"2,819.00","2,827.40","2,781.55","2,817.00",416.82,76911,1482105
23-03-2018,"2,802.00","2,834.10","2,798.05","2,818.15",514.64,77575,1827061
22-03-2018,"2,859.95","2,875.95","2,822.55","2,831.35",330.72,72687,1163047
21-03-2018,"2,872.50","2,884.30","2,850.00","2,856.75",559.92,88110,1953839
20-03-2018,"2,820.00","2,873.20","2,819.00","2,864.85",574.02,79442,2012492
19-03-2018,"2,829.00","2,848.00","2,820.00","2,831.00",494.26,93179,1744970
16-03-2018,"2,868.80","2,872.00","2,805.00","2,825.70","1,020.00",151066,3598741
